07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-128.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-134.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-230.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-154.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-121.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-75.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-111.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-140.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-143.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-125.htm
07-05 11:32:32.776   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-107.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-203.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-130.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-89.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-151.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-202.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-127.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-78.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-135.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-157.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-136.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-88.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-161.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-81.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-153.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-192.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-101.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-197.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-220.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-168.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-177.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-201.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-216.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-200.htm
07-05 11:32:32.779   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-172.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-183.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-224.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-245.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-150.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-240.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-185.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-189.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-280.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-176.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-191.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-73.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-122.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-80.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-217.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-188.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-253.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-205.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-234.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-215.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-319.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-35.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-164.htm
07-05 11:32:32.783   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-142.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-39.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-219.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-62.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-105.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-221.htm
07-05 11:32:32.787   545  4630 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-77.htm
