04-16 17:40:06.132   215   217 D dalvikvm: GC_CONCURRENT freed 191K, 15% free 9862K/11591K, paused 2ms+2ms
04-16 17:40:08.234   145   528 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
04-16 17:40:27.144   270   272 D dalvikvm: GC_CONCURRENT freed 384K, 8% free 10479K/11335K, paused 2ms+6ms
04-16 17:40:27.210   473  2335 D dalvikvm: GC_EXPLICIT freed 562K, 12% free 9835K/11079K, paused 2ms+3ms
04-16 17:40:42.117    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:40:42.124   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:40:43.402   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:40:43.480   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:40:43.480   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:40:43.488   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:40:43.492   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:40:43.492   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:40:43.507    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:40:43.523   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:41:19.519   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:41:19.523    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:41:19.527   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:41:20.808   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:41:20.886   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:41:20.886   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:41:20.890   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:41:20.894   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:41:20.898   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:41:20.898    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:41:20.906   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:41:20.964   145   147 D dalvikvm: GC_CONCURRENT freed 1310K, 15% free 15016K/17479K, paused 2ms+7ms
04-16 17:41:27.941   974  1149 I PhoneLab-: Service Running
04-16 17:41:28.046   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1072  c00f1758 400c6794 S logcat
04-16 17:41:28.046   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-16 17:41:28.046   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-16 17:41:28.046   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-16 17:41:28.046   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-16 17:41:28.050   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-16 17:41:56.917   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:41:56.921    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:41:56.925   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
