04-14 14:53:11.361   974 13003 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 14:53:11.365   974 13003 I PhoneLab-Locks: wake lock acquired
04-14 15:06:34.931   974   976 D dalvikvm: GC_CONCURRENT freed 520K, 16% free 9240K/10887K, paused 2ms+4ms
04-14 15:06:34.954   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:06:34.954   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:06:34.962   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:06:34.962   974   974 I PhoneLab-Locks: wake lock released
04-14 15:06:34.966   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:06:34.966   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:06:34.966   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:06:34.970   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:06:34.970   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:06:34.974   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-14 15:06:34.974   974   974 I PhoneLab-Locks: wake lock released
04-14 15:06:34.978   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:06:34.978   974   974 I PhoneLab-Locks: wake lock released
04-14 15:07:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:07:28.017   974   976 D dalvikvm: GC_CONCURRENT freed 415K, 16% free 9226K/10887K, paused 1ms+6ms
04-14 15:07:28.021   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:07:28.021   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:07:28.021   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:07:28.021   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:07:28.025   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:07:28.025   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:09:13.458   215   217 D dalvikvm: GC_CONCURRENT freed 385K, 9% free 10455K/11399K, paused 1ms+4ms
04-14 15:09:19.158   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-14 15:09:19.474   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-14 15:09:19.787   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-14 15:09:19.790   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-14 15:09:21.376   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
04-14 15:09:21.376   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
04-14 15:09:21.380   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=1 subject='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
04-14 15:09:21.384   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=0 subject='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius1.cit.buffalo.edu'
04-14 15:09:22.607   291   291 I wpa_supplicant: EAP-MSCHAPV2: Authentication succeeded
04-14 15:09:22.919   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-14 15:09:23.232   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-SUCCESS EAP authentication completed successfully
04-14 15:09:23.572   291   291 I wpa_supplicant: wlan0: WPA: Key negotiation completed with d0:c2:82:2d:e4:b1 [PTK=CCMP GTK=TKIP]
04-14 15:09:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:09:27.997   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:09:27.997   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:09:27.997   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:09:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:09:27.997   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:09:28.001   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:09:33.455   145   147 D dalvikvm: GC_CONCURRENT freed 1223K, 11% free 14302K/15943K, paused 3ms+6ms
04-14 15:11:27.943   974  1149 I PhoneLab-: Service Running
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:11:28.013   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:11:34.982   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:11:34.994   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:11:35.048   974   976 D dalvikvm: GC_CONCURRENT freed 476K, 15% free 9260K/10887K, paused 1ms+5ms
04-14 15:11:35.060   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:11:35.060   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:11:35.072   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:11:35.072   974   974 I PhoneLab-Locks: wake lock released
04-14 15:11:35.076   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:11:35.076   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:11:35.080   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:11:35.080   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:11:35.080   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:11:35.087   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 94
04-14 15:11:35.087   974   974 I PhoneLab-Locks: wake lock released
04-14 15:11:35.087   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:11:35.087   974   974 I PhoneLab-Locks: wake lock released
04-14 15:13:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:13:27.994   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:13:27.997   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:13:27.997   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:13:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:13:27.997   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:13:27.997   974  1149 I PhoneLab-LoggerService: Files found .. 2
