06-22 14:12:16.218 26179 26182 D dalvikvm: GC_CONCURRENT freed 674K, 8% free 9705K/10503K, paused 9ms+3ms
06-22 14:12:16.218 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-22 14:12:16.226 26179 26386 D Bible - E/Misc: 	js.a(SourceFile:124)
06-22 14:12:16.296   280   280 D wpa_supplicant: EAP-PEAP: Using PEAP version 0
06-22 14:12:16.296   280   280 D wpa_supplicant: SSL: (where=0x10 ret=0x1)
06-22 14:12:16.296   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: SSL_connect:before/connect initialization
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: SSL_connect:SSLv3 write client hello A
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: (where=0x1002 ret=0xffffffff)
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: SSL_connect:error in SSLv3 read server hello A
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: SSL_connect - want more data
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: 190 bytes pending from ssl_out
06-22 14:12:16.304   280   280 D wpa_supplicant: SSL: 190 bytes left to be sent out (of total 190 bytes)
06-22 14:12:16.304   280   280 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-22 14:12:16.304   280   280 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-22 14:12:16.304   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.304   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-22 14:12:16.304   280   280 D wpa_supplicant: EAPOL: txSuppRsp
06-22 14:12:16.304   280   280 D wpa_supplicant: TX EAPOL: dst=00:27:0d:e2:7d:12
06-22 14:12:16.304   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-22 14:12:16.335   280   280 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-22 14:12:16.335   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
